rating,title,content,date,author
5,I LOVE ITTT,"this app is super duper cute, good for vintage y2k 2000sy pictures. Stick to the free ones if u can’t afford the subscription ones it’s okay they still are sooo good I love them!",2026-09-08T13:52:41-07:00,Viekek
4,喜欢拼贴！,好喜欢这个拼贴模式！不过素材不够多呀！什么时候能多出点素材呢？蹲！还有就是拼贴模式的话，不希望能出个九宫格版本的，方便发朋友圈，只能在左边和右边添加画布，不可以上下搞连接，求更新！,2026-09-04T23:47:49-07:00,蟑螂公主^
2,Nope,Can’t even save a photo unless you pay for it.. if u ask me it’s not worth it at all. There are plenty of apps that have better features for free.,2026-08-29T20:59:51-07:00,Ofcitstaken
5,app so good i had to buy the pro,price is so reasonable too,2026-08-20T08:08:42-07:00,kitt3ndi0r
5,Love it,I love this app it’s so beautiful it enhances all my photos I love it!,2026-07-15T05:44:02-07:00,kitty caf figet fiver
5,My appreciation,I never felt so happy to take pictures. This app is truly awesome 🥹🙏,2026-07-02T23:14:15-07:00,Cornelius..
5,Reseña,Es una app muy bonita y me gusta la calidad de las fotos,2026-06-14T13:26:56-07:00,Dished d
3,3:2 aspect ratio,Really needs a 3:2 aspect ratio option for iPhone,2026-06-02T11:39:39-07:00,hdjabsiejsvwjs
5,The best app ever,I love ittttt,2026-04-21T13:42:48-07:00,Reo lwa3ra
5,Amazing,"For what you pay with the paid version, and even without, the amount of film stocks this camera gives you and how many options you can play with, I am SO SHOCKED that this isn't more popular. For a film emulation app, this one blows it out of the water and constantly releases new camera styles/film stocks. This is one of my must have apps especially for taking photos while on trips. Much better than Dazz cam, 1998 cam, etc.",2026-04-19T22:31:00-07:00,chris440011
5,Really good app,I love the quality I love the way my pictures turn out so much,2026-04-05T22:52:24-07:00,"xf,odkdjjsmmlaozixubd"
5,I love proCCD now,I LOVE THIS I WILL USE THIS MORE THEN SNAP CAMERA TIKTOK CAMERA AND NORMAL CAMERA 😘 Thank you ☺️,2026-04-03T01:37:45-07:00,From glowyzxx
5,Love,I love this app didn’t even mind buying the app. I just wish all of the featured cameras had a timer,2026-02-21T21:19:45-07:00,Juno Love
4,Meow,Pretty good app! I wish when you recorded that the video quality is a bit better,2026-02-10T05:34:30-07:00,jiyongsangel
1,永久会员无法登陆，客服不回复,已经购买了永久会员，但现在无法登录使用会员功能。多次给应用内提供的邮箱发送邮件，没有任何回复，客服完全联系不上。希望开发者尽快解决登录问题或者回复用户，否则体验非常差。,2026-02-07T16:03:32-07:00,Ziqing Ni
5,Perfect and extremely accurate filters,I paid for the full thing and I gotta say it’s extremely worthwhile. The Digicam filters are extremely accurate and so are the film filters. You can’t get anything better than this honestly.,2026-02-05T21:27:50-07:00,MermaidMan&BarnacleBoi
